smiles,logS0,random,diversity
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c1ccccc1,-4.985,0,1
CCC(=O)c1ccccc1,-1.83,0,0
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,0,1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,-4.145,0,1
CCC(C)(C)CO,-1.04,0,0
CCC(C)(C)O,0.088175,0,1
CCC(C)(O)CC,-0.366666667,0,1
CCC(CC)C=O,-1.52,1,2
CCC(CC)CO,-1.17,0,1
CCC(O)(CC)CC,-0.85,0,1
CCC(O)CC,-0.239,0,1
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,-2.273,0,0
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1,-3,0,1
CCC1(C(=O)NC(=O)NC1=O)C1=C[C@@H]2CC[C@@H](C2)C1,-2.773,1,2
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-2.293,0,0
CCC1(C(=O)NCNC1=O)c1ccccc1,-2.64,1,2
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.153,1,2
CCC1(C)C(=O)NC(=O)NC1=O,-1.162,1,2
CCC1(CC)C(=O)NC(=O)NC1=O,-1.41,0,1
CCC1(CC)C(=O)NC[C@H](C)C1=O,-0.382,0,1
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.253,0,0
CCC1(CC=C)C(=O)NC(=O)NC1=O,-1.614,0,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.47,1,2
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,-6.44,0,1
CCC1C(=O)NC(=O)NC1=O,-1.427,0,1
CCCC(=O)C=C,-0.83,1,2
CCCC(=O)CC,-0.83,1,2
CCCC(=O)CCC,-1.3,1,2
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(c1)C(C)=O,-2.4375,0,1
CCCC(=O)OC,-0.82,0,0
CCCC(=O)OCC,-1.28,0,0
CCCC(C)(C)CO,-1.52,0,1
CCCC(C)(C)O,-0.49,1,2
CCCC(C)(COC(N)=O)COC(N)=O,-1.807,1,2
CCCC(O)CCC,-1.4,1,2
CCCC1(CC)C(=O)NC(=O)NC1=O,-1.491,1,2
CCCC1(CCC)C(=O)NC(=O)NC1=O,-2.527,1,2
CCCCC(=O)CCCC,-2.583333333,1,2
CCCCC(=O)OC,-1.36,0,1
CCCCC(=O)OCC,-1.75,1,2
CCCCC(C)(C)O,-1.08,0,0
CCCCC(C)=O,-0.8,1,2
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.686,0,0
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,-2.172,0,0
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,-4.391,1,2
CCCCCC(=O)OC,-1.913333333,0,0
CCCCCC(=O)OCC,-2.336666667,0,0
CCCCCC(C)(C)O,-1.72,0,1
CCCCCC(C)=O,-1.44,1,2
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.34,0,0
CCCCCC=O,-1.3,1,2
CCCCCCC(=O)OCC,-2.73,0,1
CCCCCCC(C)=O,-2.05,0,0
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.049,0,0
CCCCCCC=O,-1.7,0,0
CCCCCCCC(C)=O,-2.58,0,1
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.218,1,2
CCCCCCCC=O,-2.36,0,1
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.943,0,1
CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-4.462,1,2
CCCCCCCCC[C@@H](C)O,-2.94,0,1
CCCCCCCCO,-2.385,1,2
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,-1.81,0,1
CCCCCCCO,-1.8175,0,0
CCCCCCCOC(N)=O,-2.62,0,0
CCCCCCC[C@@H](C)O,-2.74,0,0
CCCCCCO,-1.2375,0,0
CCCCCCOC(C)=O,-2.46,0,1
CCCCCCOC(N)=O,-1.92,0,0
CCCCCC[C@@H](C)O,-1.99,1,2
CCCCCO,-0.60225,0,1
CCCCCOC(=O)CC,-2.25,0,1
CCCCCOC(C)=O,-1.8875,0,0
CCCCCOC(N)=O,-1.47,0,1
CCCCC[C@@H](C)O,-1.55,0,1
CCCCC[C@@H](O)CC,-1.98,0,1
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-3.67,0,1
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,-2.47,0,0
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,0.098,0,1
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,-3.511,0,1
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.4665,0,0
CCCCNC(=O)OC[C@@](C)(CCC)COC(N)=O,-2.739,0,1
CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O,-3.562,0,1
CCCCNc1ccc(cc1)C(=O)OCCN(C)C,-3.011,0,1
CCCCOC,-0.99,0,1
CCCCOC(=O)c1ccc(N)cc1,-3.131,1,2
CCCCOC(=O)c1ccc(O)cc1,-3.101,1,2
CCCCOC(C)=O,-1.29,0,0
CCCCOC(N)=O,-0.66,0,0
CCCCOCCCC,-1.885,0,1
CCCCOCCO,-0.42,0,1
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-4.39,0,1
CCCCOc1ccc(OCCCN2CCOCC2)cc1,-3.5,0,1
CCCC[C@@H](C)O,-0.89,0,0
CCCC[C@@H](CC)C=O,-2.13,0,1
CCCC[C@@H](CC)CO,-2.11,0,1
CCCC[C@@H](O)CC,-1.47,0,0
CCCC[C@H](C)[C@H](C)O,-1.72,0,1
CCCC[C@](C)(O)CC,-1.6,0,1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-8.174,0,1
CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,-1.625,1,2
CCCCn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.745,0,1
CCCCn1cnc2n(C)c(=O)n(C)c(=O)c12,-1.805,0,0
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,-4.888,0,1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.2745,0,1
CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,-5.2,0,1
CCCOC(=O)CC,-1.34,0,0
CCCOC(=O)CCC,-1.92,0,1
CCCOC(=O)c1ccc(O)cc1,-2.557,0,0
CCCOC(=O)c1ccccc1,-2.67,0,1
CCCOC(C)=O,-0.72,0,1
CCCOC(C)C,-1.34,0,1
CCCOC=O,-0.49,0,1
CCCOCC,-0.66,0,1
CCCOCCC,-1.446666667,1,2
CCCOc1ccc2[C@@H]([C@H]([C@@H](c2c1)c1ccc(OC)cc1OCC(O)=O)C(O)=O)c1ccc2OCOc2c1,-6.771,0,1
CCCSCCC,-2.58,0,1
CCC[C@@H](C)O,-0.29,0,1
CCC[C@@H](O)CC,-0.8,0,0
CCC[C@@H](O)[C@H](CC)CO,-0.54,0,1
CCC[C@@]1(CCc2ccccc2)CC(=O)[C@@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1,-6.3,1,2
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.41,1,2
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.333,0,1
CCC[C@H](C)CO,-1.11,0,0
CCC[C@H](O)C=C,-0.59,1,2
CCC[C@](C)(O)CC,-0.986666667,0,0
CCC[N+]([O-])=O,-0.8,0,1
CCC[S@](=O)CCCN(CC)C[C@@H](O)COc1ccc(cc1)C#N,-1.17,0,1
CCC\C(=C(/C)O)C(C)=O,-0.88,0,1
CCC\C=C(\CC)C=O,-2.46,0,1
CCCc1cc(=O)[nH]c(=S)[nH]1,-2.185,0,1
CCCn1c(=O)n(C)c2ncn(C)c2c1=O,-1.207,0,0
CCN(CC)C(=O)C(\Cl)=C(/C)OP(=O)(OC)OC,0.523,0,1
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,0,1
CCN(CC)C(=O)Nc1ccc(OC[C@@H](O)CNC(C)(C)C)c(c1)C(C)=O,-1.9,0,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,-2.995,0,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.874,1,2
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,-4.35,0,1
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,-3.89,0,1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.565,0,1
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.719,1,2
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,-5.79,0,1
CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1,-1.698,0,1
CCN(N=O)C(N)=O,-0.96,0,1
CCN1CCC[C@@H]1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,-2.876,0,1
CCN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,-3.18,0,0
CCN1c2ncccc2N(C)C(=O)c2cccnc12,-2.62,0,0
CCN1c2ncccc2N(CC)C(=O)c2cccnc12,-2.86,0,1
CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1,-1.83,0,1
CCNC(=S)NCC,-1.46,0,1
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,-2.95,0,1
CCNc1nc(Cl)nc(NC(C)C)n1,-3.489,0,1
CCOC(=O)C1=C(C)NC(C)=C([C@H]1c1cccc(Cl)c1Cl)C(=O)OC,-5.89,0,1
CCOC(=O)C=C,-0.74,0,1
CCOC(=O)CC,-0.66,0,1
CCOC(=O)CC(=O)OCC,-0.82,0,1
CCOC(=O)CCC(=O)OCC,-0.96,0,1
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518,0,1
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.719,0,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,-1.305,0,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(O)=O,-1.9,0,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@@H]2C[C@H]1C(O)=O,-2.84,1,2
CCOC(=O)c1ccc(N)cc1,-2.41,0,1
CCOC(=O)c1ccc(O)cc1,-2.346,0,0
CCOC(=O)c1ccccc1,-2.32,1,2
CCOC(=O)c1ccccc1C(=O)OCC,-2.35,0,1
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,-6.735,0,1
CCOC(C)=O,-0.035675,0,0
CCOC(C)C,-0.55,1,2
CCOC(C)OCC,-0.43,0,1
CCOC(N)=O,0.85,0,1
CCOCCOCC,-0.77,0,1
CCOP(=O)(OCC)OCC,0.43,0,1
CCOP(=S)(OCC)Oc1ccc(cc1)[S@](C)=O,-2.3,1,2
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.244,0,1
CCOc1ccc(NC(C)=O)cc1,-2.4255,0,0
CCOc1ccc(NC(N)=O)cc1,-2.17,0,1
CCOc1ccccc1,-2.33,1,2
CCS(=O)(=O)CC,0.04,1,2
CCSCc1ccccc1OC(=O)NC,-2.09,0,1
CCSSCC,-2.42,0,1
CC[C@@H](C)C(C)(C)O,-0.89,0,1
CC[C@@H](C)C(C)=O,-0.67,1,2
CC[C@@H](C)OC(N)=O,-0.3,0,1
CC[C@@H](CO)NCCN[C@@H](CC)CO,-0.565,0,1
CC[C@@H](Cc1c(I)cc(I)c(N)c1I)C(O)=O,-4.58,0,1
CC[C@@H](O)C(C)(C)C,-1.15,1,2
CC[C@@H](O)C(C)C,-0.7,1,2
CC[C@@](C)(O)C(C)(C)C,-1.27,0,1
CC[C@@](C)(O)C(C)C,-0.85,0,1
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,-6,1,2
CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.333,0,1
CC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,1,2
CC[C@H](C)CO,-0.47,0,1
CC[C@H](C)[C@H](C)O,-0.716666667,0,1
CC[C@H](N)C(O)=O,0.3075,1,2
CC[C@H]1NC(=O)NC1=O,-0.06,0,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-3.15,0,1
CC[C@]1(CCC(=O)NC1=O)c1ccccc1,-2.337,0,1
CC\C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,-8.02,0,1
CC\C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.7145,0,1
CC\C=C(/C)C1(CC)C(=O)NC(=O)NC1=O,-2.458,0,1
CCc1ccc(CCOc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc1,-6.185,0,0
CCc1cccc(C)c1N([C@@H](C)COC)C(=O)CCl,-2.73,0,1
CCc1ccccc1O,-1.36,0,1
CCc1cccs1,-2.59,0,1
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-4.109,0,1
CCn1c(=O)n(C)c2ncn(C)c2c1=O,-0.719,0,0
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12,-2.43291365,0,1
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1,-2.9065,0,0
CCn1cc(C(O)=O)c(=O)c2ccc(C)nc12,-3.4885,0,1
CCn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.757,0,0
CN(C(C)=O)c1ccccc1,-0.95,0,1
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,-7.074,0,1
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,0,1
CN(C)C(=O)N(C)C,0.94,0,1
CN(C)C(=O)NC1CCCCCCC1,-2.289,1,2
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.76,0,0
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.9,1,2
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,0,1
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.463,0,1
CN(C)C(=O)Nc1ccccc1,-1.6175,0,1
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85,0,1
CN(C)C(=O)Oc1cc(C)nn1-c1ccccc1,-2.09,0,1
CN(C)CCC=C1c2ccccc2CCc2ccccc12,-4.55,0,0
CN(C)CCCN1c2ccccc2CCc2ccccc12,-4.3125,1,2
